antecedent,consequent,antecedent_n,consequent_n,both_n,support_pct,confidence,lift
Airflow + ETL,ELT,39,67,28,3.94,0.718,7.619
Data Lake + Python,ELT,35,67,25,3.52,0.714,7.58
Airflow + Data Warehouse,ELT,35,67,25,3.52,0.714,7.58
Python + Spark,Hadoop,61,40,26,3.66,0.426,7.576
PostgreSQL + SQL,MySQL,50,47,25,3.52,0.5,7.564
Computer Vision,NLP,49,52,27,3.8,0.551,7.534
NLP,Computer Vision,52,49,27,3.8,0.519,7.534
AWS + Azure,GCP,72,83,63,8.86,0.875,7.495
Computer Vision + Python,TensorFlow,42,59,26,3.66,0.619,7.46
MySQL + SQL,PostgreSQL,34,71,25,3.52,0.735,7.363
AWS + Kubernetes,Docker,32,79,26,3.66,0.812,7.312
Deep Learning + Python,PyTorch,59,61,37,5.2,0.627,7.31
Computer Vision + Python,PyTorch,42,61,26,3.66,0.619,7.215
Big Data + Kafka,Spark,31,83,26,3.66,0.839,7.185
ETL + Oracle,ELT,37,67,25,3.52,0.676,7.17
ETL + Kafka,Spark,30,83,25,3.52,0.833,7.139
Big Data + Spark,Kafka,50,52,26,3.66,0.52,7.11
Data Modeling + ETL,ELT,48,67,32,4.5,0.667,7.075
Data Pipeline + Data Warehouse,ELT,39,67,26,3.66,0.667,7.075
Kubernetes,Docker,55,79,43,6.05,0.782,7.036
Docker,Kubernetes,79,55,43,6.05,0.544,7.036
Data Warehouse + ETL,ELT,86,67,57,8.02,0.663,7.033
Data Warehouse + SQL Server,Oracle,32,86,27,3.8,0.844,6.976
Deep Learning + Python,TensorFlow,59,59,34,4.78,0.576,6.945
AI + Deep Learning,PyTorch,44,61,26,3.66,0.591,6.887
Docker + Python,Kubernetes,64,55,34,4.78,0.531,6.868
MySQL,PostgreSQL,47,71,32,4.5,0.681,6.818
PostgreSQL,MySQL,71,47,32,4.5,0.451,6.818
Kafka + Python,Spark,34,83,27,3.8,0.794,6.803
Data Warehouse + Oracle,SQL Server,45,63,27,3.8,0.6,6.771
PyTorch + TensorFlow,Computer Vision,58,49,27,3.8,0.466,6.755
Docker + Machine Learning,Kubernetes,48,55,25,3.52,0.521,6.733
Azure + Python,GCP,64,83,50,7.03,0.781,6.692
Data Warehouse + Spark,Data Lake,41,70,27,3.8,0.659,6.689
Computer Vision,TensorFlow,49,59,27,3.8,0.551,6.64
TensorFlow,Computer Vision,59,49,27,3.8,0.458,6.64
Data Quality + ETL,ELT,56,67,35,4.92,0.625,6.632
Data Pipeline + ETL,ELT,48,67,30,4.22,0.625,6.632
Python + TensorFlow,Computer Vision,57,49,26,3.66,0.456,6.619
Machine Learning + PyTorch,Deep Learning,53,70,34,4.78,0.642,6.516
SQL + Spark,Kafka,63,52,30,4.22,0.476,6.511
Azure + Machine Learning,GCP,49,83,37,5.2,0.755,6.468
AWS + ETL,ELT,46,67,28,3.94,0.609,6.459
AI + Azure,GCP,36,83,27,3.8,0.75,6.425
Computer Vision,PyTorch,49,61,27,3.8,0.551,6.423
PyTorch,Computer Vision,61,49,27,3.8,0.443,6.423
Data Warehouse + ELT,Data Lake,57,70,36,5.06,0.632,6.415
Data Lake + Data Warehouse,ELT,60,67,36,5.06,0.6,6.367
Docker + English,CI/CD,41,71,26,3.66,0.634,6.35
PyTorch,Deep Learning,61,70,38,5.34,0.623,6.327
Deep Learning,PyTorch,70,61,38,5.34,0.543,6.327
Computer Vision + Machine Learning,Deep Learning,45,70,28,3.94,0.622,6.32
Machine Learning + TensorFlow,Deep Learning,50,70,31,4.36,0.62,6.297
PyTorch + Python,Computer Vision,60,49,26,3.66,0.433,6.288
Kafka + SQL,Spark,41,83,30,4.22,0.732,6.268
PyTorch + Python,Deep Learning,60,70,37,5.2,0.617,6.264
Kafka,Spark,52,83,38,5.34,0.731,6.26
Spark,Kafka,83,52,38,5.34,0.458,6.26
Data Lake + SQL,ELT,56,67,33,4.64,0.589,6.253
Deep Learning + Machine Learning,Computer Vision,65,49,28,3.94,0.431,6.251
MySQL,SQL Server,47,63,26,3.66,0.553,6.243
SQL Server,MySQL,63,47,26,3.66,0.413,6.243
AWS + GCP,Azure,74,97,63,8.86,0.851,6.24
AI + AWS,GCP,44,83,32,4.5,0.727,6.23
AWS + Data Warehouse,Data Lake,41,70,25,3.52,0.61,6.193
AI + PyTorch,Deep Learning,43,70,26,3.66,0.605,6.142
PyTorch + TensorFlow,Deep Learning,58,70,35,4.92,0.603,6.129
Deep Learning + Machine Learning,PyTorch,65,61,34,4.78,0.523,6.097
Big Data + Data Lake,Spark,38,83,27,3.8,0.711,6.087
Python + TensorFlow,Deep Learning,57,70,34,4.78,0.596,6.059
Python + Spark,Kafka,61,52,27,3.8,0.443,6.052
ETL + Spark,Data Lake,42,70,25,3.52,0.595,6.046
Big Data + ETL,ELT,58,67,33,4.64,0.569,6.038
GCP + Machine Learning,Azure,45,97,37,5.2,0.822,6.027
TensorFlow,Deep Learning,59,70,35,4.92,0.593,6.025
Deep Learning,TensorFlow,70,59,35,4.92,0.5,6.025
Computer Vision,Deep Learning,49,70,29,4.08,0.592,6.011
Deep Learning,Computer Vision,70,49,29,4.08,0.414,6.011
AI + GCP,Azure,33,97,27,3.8,0.818,5.997
AWS + ETL,Data Lake,46,70,27,3.8,0.587,5.962
AWS + Machine Learning,GCP,62,83,43,6.05,0.694,5.941
ETL + Python,ELT,86,67,48,6.75,0.558,5.923
Data Engineering + ETL,ELT,52,67,29,4.08,0.558,5.918
English + GCP,Azure,36,97,29,4.08,0.806,5.905
Data Warehouse + Oracle,ELT,45,67,25,3.52,0.556,5.896
AWS + Python,GCP,88,83,60,8.44,0.682,5.841
Azure + GCP,AWS,63,122,63,8.86,1.0,5.828
ETL + SQL,ELT,110,67,60,8.44,0.545,5.788
Data Modeling + Data Warehouse,ELT,55,67,30,4.22,0.545,5.788
ELT,Data Lake,67,70,38,5.34,0.567,5.761
Data Lake,ELT,70,67,38,5.34,0.543,5.761
Oracle + Reporting,SQL Server,51,63,26,3.66,0.51,5.754
Deep Learning + Machine Learning,TensorFlow,65,59,31,4.36,0.477,5.747
Airflow + SQL,ELT,50,67,27,3.8,0.54,5.73
Looker + SQL,Tableau,32,109,28,3.94,0.875,5.708
Kafka,Airflow,52,60,25,3.52,0.481,5.697
Airflow,Kafka,60,52,25,3.52,0.417,5.697
ELT + ETL,Data Lake,66,70,37,5.2,0.561,5.694
Data Quality + Data Warehouse,ELT,58,67,31,4.36,0.534,5.672
AI + GCP,AWS,33,122,32,4.5,0.97,5.651
AWS + Data Warehouse,GCP,41,83,27,3.8,0.659,5.641
AWS + LLM,GCP,38,83,25,3.52,0.658,5.636
GCP + LLM,AWS,26,122,25,3.52,0.962,5.604
CI/CD + English,Docker,42,79,26,3.66,0.619,5.571
GCP + Machine Learning,AWS,45,122,43,6.05,0.956,5.569
GCP,Azure,83,97,63,8.86,0.759,5.564
Azure,GCP,97,83,63,8.86,0.649,5.564
CI/CD + Python,Docker,47,79,29,4.08,0.617,5.553
Azure + English,GCP,45,83,29,4.08,0.644,5.52
ETL + Reporting,ELT,75,67,39,5.49,0.52,5.518
ELT + SQL,Data Lake,61,70,33,4.64,0.541,5.495
Big Data + Spark,Data Lake,50,70,27,3.8,0.54,5.485
GCP + Python,Azure,67,97,50,7.03,0.746,5.47
ETL + SQL Server,Oracle,41,86,27,3.8,0.659,5.444
Git + SQL,CI/CD,46,71,25,3.52,0.543,5.442
AWS + Data Engineering,GCP,41,83,26,3.66,0.634,5.432
GCP + Reporting,AWS,29,122,27,3.8,0.931,5.426
GCP + Spark,AWS,27,122,25,3.52,0.926,5.396
Data Warehouse + ELT,ETL,57,133,57,8.02,1.0,5.346
ELT + Reporting,ETL,39,133,39,5.49,1.0,5.346
Big Data + ELT,ETL,33,133,33,4.64,1.0,5.346
ELT + Oracle,ETL,25,133,25,3.52,1.0,5.346
English + GCP,AWS,36,122,33,4.64,0.917,5.342
LLM + Machine Learning,NLP,85,52,33,4.64,0.388,5.308
SQL + Spark,Airflow,63,60,28,3.94,0.444,5.267
ELT,ETL,67,133,66,9.28,0.985,5.266
ETL,ELT,133,67,66,9.28,0.496,5.266
ELT + SQL,ETL,61,133,60,8.44,0.984,5.258
Looker + Power BI,Tableau,36,109,29,4.08,0.806,5.255
Big Data + ETL,SQL Server,58,63,27,3.8,0.466,5.254
ELT + SQL,Airflow,61,60,27,3.8,0.443,5.245
ELT + Python,ETL,49,133,48,6.75,0.98,5.237
Oracle + SQL,SQL Server,67,63,31,4.36,0.463,5.222
GCP + Python,AWS,67,122,60,8.44,0.896,5.219
AWS + ETL,Spark,46,83,28,3.94,0.609,5.214
AWS + ETL,GCP,46,83,28,3.94,0.609,5.214
Data Lake + ELT,ETL,38,133,37,5.2,0.974,5.205
Azure + Spark,AWS,28,122,25,3.52,0.893,5.203
Azure + CI/CD,AWS,28,122,25,3.52,0.893,5.203
Data Quality + ELT,ETL,36,133,35,4.92,0.972,5.197
Data Warehouse + ETL,Data Lake,86,70,44,6.19,0.512,5.197
Data Warehouse + ELT,Airflow,57,60,25,3.52,0.439,5.197
GCP,AWS,83,122,74,10.41,0.892,5.196
AWS,GCP,122,83,74,10.41,0.607,5.196
AWS + English,CI/CD,56,71,29,4.08,0.518,5.186
Data Modeling + ELT,ETL,33,133,32,4.5,0.97,5.184
Data Engineering + Data Warehouse,Data Lake,49,70,25,3.52,0.51,5.182
ELT + Python,Data Lake,49,70,25,3.52,0.51,5.182
Data Pipeline + ELT,ETL,31,133,30,4.22,0.968,5.173
Data Engineering + ELT,ETL,30,133,29,4.08,0.967,5.168
AWS + ELT,ETL,29,133,28,3.94,0.966,5.162
Airflow + ELT,ETL,29,133,28,3.94,0.966,5.162
Big Data + SQL Server,ETL,28,133,27,3.8,0.964,5.155
AWS + Reporting,GCP,45,83,27,3.8,0.6,5.14
Airflow,ELT,60,67,29,4.08,0.483,5.129
ELT,Airflow,67,60,29,4.08,0.433,5.129
Reporting + SQL Server,Oracle,42,86,26,3.66,0.619,5.118
ETL + GCP,AWS,32,122,28,3.94,0.875,5.099
Data Warehouse + GCP,AWS,31,122,27,3.8,0.871,5.076
Data Warehouse + Python,ELT,86,67,41,5.77,0.477,5.059
Data Engineering + GCP,AWS,30,122,26,3.66,0.867,5.051
AWS + English,GCP,56,83,33,4.64,0.589,5.048
Big Data + Python,Java,84,52,31,4.36,0.369,5.046
ELT + ETL,Airflow,66,60,28,3.94,0.424,5.027
Azure + LLM,AWS,29,122,25,3.52,0.862,5.024
CI/CD + SQL,Git,46,77,25,3.52,0.543,5.018
Big Data + Data Warehouse,ELT,66,67,31,4.36,0.47,4.984
Looker + Reporting,Tableau,33,109,25,3.52,0.758,4.942
Statistics + Tableau,Data Visualization,52,86,31,4.36,0.596,4.929
SQL + SQL Server,Oracle,52,86,31,4.36,0.596,4.929
Big Data + Data Warehouse,Data Lake,66,70,32,4.5,0.485,4.925
Azure + Python,AWS,64,122,54,7.59,0.844,4.917
Kubernetes,CI/CD,55,71,27,3.8,0.491,4.916
CI/CD,Kubernetes,71,55,27,3.8,0.38,4.916
AI + NLP,LLM,38,118,31,4.36,0.816,4.915
Azure + SQL,GCP,56,83,32,4.5,0.571,4.895
GCP + SQL,Azure,48,97,32,4.5,0.667,4.887
Azure + Machine Learning,AWS,49,122,41,5.77,0.837,4.876
AWS + Spark,GCP,44,83,25,3.52,0.568,4.867
GCP + SQL,AWS,48,122,40,5.63,0.833,4.857
Looker,Tableau,39,109,29,4.08,0.744,4.85
AWS + Machine Learning,Azure,62,97,41,5.77,0.661,4.847
ELT + Oracle,Data Warehouse,25,147,25,3.52,1.0,4.837
AI + AWS,Azure,44,97,29,4.08,0.659,4.831
AWS + LLM,Azure,38,97,25,3.52,0.658,4.822
CI/CD,Docker,71,79,38,5.34,0.535,4.817
Docker,CI/CD,79,71,38,5.34,0.481,4.817
AWS + Data Lake,ETL,30,133,27,3.8,0.9,4.811
Data Modeling + Data Warehouse,Data Lake,55,70,26,3.66,0.473,4.802
Airflow + SQL,Spark,50,83,28,3.94,0.56,4.797
Hadoop + Spark,Big Data,37,130,32,4.5,0.865,4.73
Big Data + Power BI,Tableau,40,109,29,4.08,0.725,4.729
SQL Server,Oracle,63,86,36,5.06,0.571,4.724
Oracle,SQL Server,86,63,36,5.06,0.419,4.724
ELT + Reporting,Data Warehouse,39,147,38,5.34,0.974,4.713
Airflow,Spark,60,83,33,4.64,0.55,4.711
Spark,Airflow,83,60,33,4.64,0.398,4.711
Data Pipeline + ETL,Data Modeling,48,85,27,3.8,0.562,4.705
AI + Azure,AWS,36,122,29,4.08,0.806,4.695
Data Warehouse + Reporting,ELT,86,67,38,5.34,0.442,4.689
Data Warehouse + SQL Server,ETL,32,133,28,3.94,0.875,4.678
Data Pipeline + Data Warehouse,ETL,39,133,34,4.78,0.872,4.66
AWS + Data Engineering,Azure,41,97,26,3.66,0.634,4.648
Git + Python,Docker,62,79,32,4.5,0.516,4.645
Docker + Python,Git,64,77,32,4.5,0.5,4.617
Azure + Data Engineering,AWS,33,122,26,3.66,0.788,4.592
Data Lake + ELT,Data Warehouse,38,147,36,5.06,0.947,4.582
Airflow + Data Warehouse,ETL,35,133,30,4.22,0.857,4.582
Python + Tableau,Data Visualization,65,86,36,5.06,0.554,4.579
MySQL,Oracle,47,86,26,3.66,0.553,4.573
Airflow,Data Lake,60,70,27,3.8,0.45,4.571
Data Lake,Airflow,70,60,27,3.8,0.386,4.571
AWS + SQL,GCP,75,83,40,5.63,0.533,4.569
Machine Learning + Power BI,Tableau,40,109,28,3.94,0.7,4.566
AWS + Reporting,Azure,45,97,28,3.94,0.622,4.561
Hadoop + SQL,Big Data,30,130,25,3.52,0.833,4.558
Big Data + ETL,Data Lake,58,70,26,3.66,0.448,4.553
CI/CD,Git,71,77,35,4.92,0.493,4.552
Git,CI/CD,77,71,35,4.92,0.455,4.552
Big Data + ELT,Data Warehouse,33,147,31,4.36,0.939,4.544
Docker + Python,CI/CD,64,71,29,4.08,0.453,4.538
Hadoop,Big Data,40,130,33,4.64,0.825,4.512
AWS + Python,Azure,88,97,54,7.59,0.614,4.498
Azure + ETL,AWS,35,122,27,3.8,0.771,4.496
Data Lake + Data Modeling,Data Warehouse,28,147,26,3.66,0.929,4.491
Python + SQL Server,ETL,37,133,31,4.36,0.838,4.479
Data Lake + Spark,Big Data,33,130,27,3.8,0.818,4.475
Data Warehouse + SQL,ELT,121,67,51,7.17,0.421,4.473
AWS + CI/CD,Azure,41,97,25,3.52,0.61,4.469
Data Lake + ETL,Spark,48,83,25,3.52,0.521,4.462
ETL + Oracle,Data Warehouse,37,147,34,4.78,0.919,4.445
Power BI + Statistics,Tableau,75,109,51,7.17,0.68,4.436
Data Lake + ETL,Data Warehouse,48,147,44,6.19,0.917,4.434
Data Modeling + Python,Data Pipeline,50,93,29,4.08,0.58,4.434
Data Visualization + Python,Tableau,53,109,36,5.06,0.679,4.431
Data Lake + Python,Data Warehouse,35,147,32,4.5,0.914,4.422
Data Visualization + Power BI,Tableau,62,109,42,5.91,0.677,4.419
Data Warehouse + ELT,Data Modeling,57,85,30,4.22,0.526,4.402
Data Modeling + ELT,Data Warehouse,33,147,30,4.22,0.909,4.397
AI + Python,PyTorch,112,61,42,5.91,0.375,4.371
ELT + Python,Data Pipeline,49,93,28,3.94,0.571,4.369
Data Quality + Python,ELT,71,67,29,4.08,0.408,4.334
Data Lake + Reporting,Data Warehouse,38,147,34,4.78,0.895,4.328
Data Quality + Data Warehouse,Data Modeling,58,85,30,4.22,0.517,4.327
Azure,AWS,97,122,72,10.13,0.742,4.326
AWS,Azure,122,97,72,10.13,0.59,4.326
Git,Docker,77,79,37,5.2,0.481,4.325
Docker,Git,79,77,37,5.2,0.468,4.325
Data Engineering + Data Lake,Data Warehouse,28,147,25,3.52,0.893,4.319
AWS + Big Data,ETL,31,133,25,3.52,0.806,4.311
Data Visualization + Statistics,Tableau,47,109,31,4.36,0.66,4.302
AWS + ETL,Azure,46,97,27,3.8,0.587,4.302
Data Modeling + ETL,Data Pipeline,48,93,27,3.8,0.562,4.3
Data Quality + Data Warehouse,Data Governance,58,77,27,3.8,0.466,4.298
Data Lake + SQL,Data Warehouse,56,147,49,6.89,0.875,4.232
Machine Learning + NLP,LLM,47,118,33,4.64,0.702,4.231
Data Governance + Data Warehouse,Data Quality,37,123,27,3.8,0.73,4.218
ETL + Reporting,SQL Server,75,63,28,3.94,0.373,4.213
AWS + English,Azure,56,97,32,4.5,0.571,4.189
Data Modeling + SQL,ELT,71,67,28,3.94,0.394,4.185
ELT + ETL,Data Warehouse,66,147,57,8.02,0.864,4.177
NLP,LLM,52,118,36,5.06,0.692,4.171
Airflow + ELT,Data Warehouse,29,147,25,3.52,0.862,4.17
Data Quality + ELT,Data Warehouse,36,147,31,4.36,0.861,4.165
AWS + Spark,Azure,44,97,25,3.52,0.568,4.165
NLP + Python,LLM,45,118,31,4.36,0.689,4.151
Data Visualization + SQL,Tableau,66,109,42,5.91,0.636,4.151
Data Lake,Data Warehouse,70,147,60,8.44,0.857,4.146
Data Warehouse,Data Lake,147,70,60,8.44,0.408,4.146
Azure + English,AWS,45,122,32,4.5,0.711,4.144
Docker + Machine Learning,LLM,48,118,33,4.64,0.688,4.142
Data Warehouse + Spark,Big Data,41,130,31,4.36,0.756,4.135
Big Data + ETL,Spark,58,83,28,3.94,0.483,4.135
PostgreSQL + SQL,Oracle,50,86,25,3.52,0.5,4.134
SQL Server,PostgreSQL,63,71,26,3.66,0.413,4.133
PostgreSQL,SQL Server,71,63,26,3.66,0.366,4.133
Data Modeling + Data Pipeline,ETL,35,133,27,3.8,0.771,4.124
ELT,Data Modeling,67,85,33,4.64,0.493,4.12
Data Modeling,ELT,85,67,33,4.64,0.388,4.12
ELT,Data Warehouse,67,147,57,8.02,0.851,4.115
Data Warehouse,ELT,147,67,57,8.02,0.388,4.115
Data Warehouse + SQL,Data Lake,121,70,49,6.89,0.405,4.113
AI + AWS,LLM,44,118,30,4.22,0.682,4.108
Reporting + Statistics,Data Visualization,79,86,39,5.49,0.494,4.081
Power BI + Statistics,Data Visualization,75,86,37,5.2,0.493,4.079
Big Data + Data Lake,Data Warehouse,38,147,32,4.5,0.842,4.073
ETL + Python,SQL Server,86,63,31,4.36,0.36,4.068
Data Pipeline + ELT,Data Warehouse,31,147,26,3.66,0.839,4.057
ELT + ETL,Data Modeling,66,85,32,4.5,0.485,4.056
Data Lake + Spark,ETL,33,133,25,3.52,0.758,4.05
Data Quality + Spark,ETL,33,133,25,3.52,0.758,4.05
ELT + Python,Data Warehouse,49,147,41,5.77,0.837,4.047
ELT + SQL,Data Warehouse,61,147,51,7.17,0.836,4.044
Data Warehouse + Oracle,ETL,45,133,34,4.78,0.756,4.039
Data Lake,Spark,70,83,33,4.64,0.471,4.038
Spark,Data Lake,83,70,33,4.64,0.398,4.038
Data Quality + ETL,Data Modeling,56,85,27,3.8,0.482,4.033
AWS + Data Lake,Data Warehouse,30,147,25,3.52,0.833,4.031
SQL + Spark,Data Lake,63,70,25,3.52,0.397,4.031
CI/CD + English,AWS,42,122,29,4.08,0.69,4.024
Big Data + Data Warehouse,Spark,66,83,31,4.36,0.47,4.024
AI + Docker,LLM,48,118,32,4.5,0.667,4.017
Data Warehouse + Reporting,Data Lake,86,70,34,4.78,0.395,4.016
Data Pipeline + SQL,ELT,74,67,28,3.94,0.378,4.015
Big Data + Oracle,ETL,36,133,27,3.8,0.75,4.009
Oracle + SQL Server,ETL,36,133,27,3.8,0.75,4.009
ETL + Oracle,Big Data,37,130,27,3.8,0.73,3.991
Azure + Reporting,AWS,41,122,28,3.94,0.683,3.98
Data Lake + Python,ETL,35,133,26,3.66,0.743,3.971
ETL + English,Data Pipeline,52,93,27,3.8,0.519,3.97
Data Quality + Data Warehouse,ETL,58,133,43,6.05,0.741,3.963
Data Lake + Spark,Data Warehouse,33,147,27,3.8,0.818,3.957
Data Lake + Reporting,ETL,38,133,28,3.94,0.737,3.939
Data Modeling + ETL,Data Warehouse,48,147,39,5.49,0.812,3.93
AI + Python,LLM,112,118,73,10.27,0.652,3.927
Data Lake + Data Warehouse,ETL,60,133,44,6.19,0.733,3.92
AWS + Data Warehouse,ETL,41,133,30,4.22,0.732,3.912
Data Warehouse + Spark,ETL,41,133,30,4.22,0.732,3.912
SQL + SQL Server,ETL,52,133,38,5.34,0.731,3.907
Machine Learning + Spark,Big Data,35,130,25,3.52,0.714,3.907
Power BI + Python,Tableau,102,109,61,8.58,0.598,3.901
Data Quality + SQL,ELT,90,67,33,4.64,0.367,3.891
ETL + Spark,AWS,42,122,28,3.94,0.667,3.885
LLM + NLP,AI,36,158,31,4.36,0.861,3.875
AWS + SQL,CI/CD,75,71,29,4.08,0.387,3.872
Data Lake + Data Warehouse,Spark,60,83,27,3.8,0.45,3.855
Azure + SQL,AWS,56,122,37,5.2,0.661,3.851
Big Data + ETL,Oracle,58,86,27,3.8,0.466,3.849
ELT + SQL,Data Modeling,61,85,28,3.94,0.459,3.84
AI + Machine Learning,LLM,113,118,72,10.13,0.637,3.839
Data Pipeline + Data Quality,ETL,39,133,28,3.94,0.718,3.838
Oracle + Python,Big Data,40,130,28,3.94,0.7,3.828
AWS + ETL,Data Engineering,46,101,25,3.52,0.543,3.826
Data Lake + SQL,Spark,56,83,25,3.52,0.446,3.824
Data Quality + ETL,Spark,56,83,25,3.52,0.446,3.824
Data Quality + ETL,Data Pipeline,56,93,28,3.94,0.5,3.823
Data Analysis + Power BI,Tableau,140,109,82,11.53,0.586,3.821
LLM + Machine Learning,AI,85,158,72,10.13,0.847,3.812
Data Warehouse + ETL,Data Modeling,86,85,39,5.49,0.453,3.793
Data Warehouse + Reporting,Data Modeling,86,85,39,5.49,0.453,3.793
ETL + Reporting,Data Lake,75,70,28,3.94,0.373,3.792
Data Modeling + Data Warehouse,ETL,55,133,39,5.49,0.709,3.791
Data Warehouse + Python,Data Lake,86,70,32,4.5,0.372,3.779
Data Governance + SQL,Data Quality,49,123,32,4.5,0.653,3.775
AI + Machine Learning,Deep Learning,113,70,42,5.91,0.372,3.775
SQL + Tableau,Data Visualization,92,86,42,5.91,0.457,3.774
AWS + SQL,Spark,75,83,33,4.64,0.44,3.769
Java + Python,Big Data,45,130,31,4.36,0.689,3.768
Data Warehouse + Power BI,Data Modeling,60,85,27,3.8,0.45,3.764
Data Pipeline + Python,ELT,79,67,28,3.94,0.354,3.761
Big Data + ETL,Data Warehouse,58,147,45,6.33,0.776,3.753
Big Data + Data Quality,ETL,47,133,33,4.64,0.702,3.753
Kafka + Spark,Big Data,38,130,26,3.66,0.684,3.742
Data Analysis + Tableau,Data Visualization,84,86,38,5.34,0.452,3.74
Data Visualization + Tableau,Statistics,44,134,31,4.36,0.705,3.738
Oracle + SQL,PostgreSQL,67,71,25,3.52,0.373,3.737
Data Engineering + SQL,ELT,71,67,25,3.52,0.352,3.737
Data Lake + SQL,ETL,56,133,39,5.49,0.696,3.723
Airflow + ETL,Data Warehouse,39,147,30,4.22,0.769,3.721
Data Quality + ETL,Data Warehouse,56,147,43,6.05,0.768,3.714
Airflow,GCP,60,83,26,3.66,0.433,3.712
Data Engineering + Data Warehouse,ETL,49,133,34,4.78,0.694,3.709
Airflow + Python,AWS,44,122,28,3.94,0.636,3.709
LLM + Machine Learning,Deep Learning,85,70,31,4.36,0.365,3.704
AI + Deep Learning,LLM,44,118,27,3.8,0.614,3.697
Data Warehouse + Power BI,Tableau,60,109,34,4.78,0.567,3.696
Deep Learning + LLM,AI,33,158,27,3.8,0.818,3.682
ETL + Reporting,Data Modeling,75,85,33,4.64,0.44,3.68
CI/CD + SQL,AWS,46,122,29,4.08,0.63,3.674
Data Lake,ETL,70,133,48,6.75,0.686,3.666
ETL,Data Lake,133,70,48,6.75,0.361,3.666
AWS + Data Quality,ETL,38,133,26,3.66,0.684,3.658
Big Data + Data Lake,ETL,38,133,26,3.66,0.684,3.658
ETL + Power BI,Tableau,50,109,28,3.94,0.56,3.653
ETL + Spark,Big Data,42,130,28,3.94,0.667,3.646
Big Data + Data Warehouse,ETL,66,133,45,6.33,0.682,3.645
ETL + Python,Data Pipeline,86,93,41,5.77,0.477,3.645
Power BI + SQL,Tableau,156,109,87,12.24,0.558,3.638
Power BI + Reporting,Tableau,140,109,78,10.97,0.557,3.634
Big Data + Oracle,Data Warehouse,36,147,27,3.8,0.75,3.628
