job_id,title_clean,company,job_family,jf_domain,jf_subdomain,seniority,city,company_type,n_skills,cluster_id
itviec:6d7e4a83-e0f5-4f10-a283-353f3a13aa27,Business Analyst,TRUONG MINH THINH TECHNOLOGY JOINT STOCK COMPANY,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Senior,Hồ Chí Minh,education,5,0
itviec:6fe8faa5-1e27-4685-824e-84932991302c,Business Analyst,xboss,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hồ Chí Minh,unknown,4,0
itviec:71ead403-73a5-4107-ab5d-a8c5acc68f0d,Business Analyst,Công ty Cổ phần Cơ điện lạnh Hoàng Đạt,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hà Nội,manufacturing,2,0
itviec:7994b818-c481-447c-b39e-d64fb0c0e6d2,Junior Business Analyst-Chuyên viên Phân tích nghiệp vụ,AITS | Vietnam Airlines,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Junior,Hà Nội,logistics,5,0
itviec:7bf45d27-950b-4903-a8cf-a2aec6ef5e87,Business Analyst,Tinh Van Consulting,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hà Nội,consulting_audit,7,0
itviec:87ad726d-1ff5-4be5-9eec-7221857a93f0,Business Analyst,1Office| Workway,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Lead,Hà Nội,unknown,7,0
itviec:8c9ef4e2-efbe-411b-8c21-0a6a900a64d2,Business Analyst,FPT IS,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Senior,Hà Nội,tech_software,2,0
itviec:8cde8116-7713-448f-a2a3-18316d9d5e89,IT Application Implementation (seasonal 1 year contract,Wilmar CLV (Cambodia Laos Vietnam),BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hồ Chí Minh,energy_agri,4,0
itviec:8dac9c5e-9389-4b55-9df4-46aacd018b79,Business Analyst,S3 Corporation (S3Corp.),BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hồ Chí Minh,tech_software,4,0
itviec:9ad74311-3d00-4a87-be1e-5b42abf5a3f2,IT Business Analyst,ABBANK,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Senior,Hà Nội,bank_finance,2,0
itviec:ae6afb7b-a7b9-48f7-850d-2ce0bb0a28b8,Business Analyst,GiMASYS,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Senior,Hà Nội,tech_software,9,0
itviec:b6747f11-16fc-478d-a0e4-5fe85dc81bc1,ERP/Logistics Senior Business Analyst,Pacific Technology,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Senior,Hồ Chí Minh,tech_software,4,0
itviec:b762810c-8316-466f-8feb-5735dfba213a,Business Analyst -Khối Công nghệ thông tin,MB Bank,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Junior,Hà Nội,bank_finance,2,0
itviec:bdab4acb-7962-46e7-8ed4-0ec469fcecb3,Business Analyst,Nova Engine Software Solution,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Junior,Hà Nội,tech_software,9,0
itviec:c63175be-f082-4bb8-a2c7-7b50ab44309e,Business Analyst,ISOFH,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Junior,Hà Nội,unknown,3,0
itviec:c6b10239-87a3-4747-95c1-7257425feafa,Business Analyst,Mercatus,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hồ Chí Minh,unknown,3,0
itviec:c933749b-3436-4794-a6ca-7f518bf33b61,Sr/Leader Business Analyst,Blue Technology,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Lead,Hà Nội,tech_software,5,0
itviec:caf59320-2a43-4f72-bbd9-72b78d1fff6e,Business Analyst,Cadena Vietnam,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hồ Chí Minh,unknown,4,0
itviec:ccf7daee-80e1-454e-97e0-db8a55d66934,Senior Business Application Analyst,Ngân hàng TMCP Phương Đông | OCB,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Senior,Hồ Chí Minh,bank_finance,3,0
itviec:ed7aac20-a42c-427c-912d-646c84260692,Business Analyst,Hitachi Digital Services,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Junior,Hồ Chí Minh,tech_software,3,0
itviec:f1d6562a-6d1d-42ef-b6ae-5c94b8c75a50,Thực tập sinh Phân tích nghiệp vụ Oracle Support,FPT IS,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Intern,Hà Nội,tech_software,4,0
itviec:f4861336-e8be-42e5-b0be-d76cd1010f9c,Project Manager cum Business Analyst,TJ Tech,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Manager,Hà Nội,tech_software,3,0
itviec:fe87ce11-6196-4ad0-accb-7bc6dd3d295f,Senior IT Product Business Analyst,Bosch Global Software Technologies Company Limited,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Senior,Hồ Chí Minh,tech_software,6,0
topdev:2111414,"Executive, Operations Excellence Ecommerce",DKSH Việt Nam,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hồ Chí Minh,logistics,6,0
vietnamworks:2035762,- IT Business Analyst Specialist,Shinhan Bank Vietnam,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hồ Chí Minh,bank_finance,5,0
vietnamworks:2038765,Chuyên Viên Quản Lý Hiệu Quả Kinh Doanh,Công Ty TNHH Chứng Khoán ACB,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hồ Chí Minh,bank_finance,3,0
vietnamworks:2038862,Nhân Viên IT,Công Ty TNHH Dainese Việt Nam,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Senior,,unknown,2,0
vietnamworks:2039022,Nhân Viên Phân Tích Nghiệp Vụ,Công Ty TNHH Chứng Khoán ACB,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hồ Chí Minh,bank_finance,1,0
vietnamworks:2041233,Finance Business Analyst Manager - ID4156,VPBank - Https://tuyendung.vpbank.com.vn/,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Manager,Hà Nội,bank_finance,1,0
vietnamworks:2049511,Business Analysis Manager,Tổng Công Ty Cổ Phần Thương Mại Xây Dựng (WTO),BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Manager,Hà Nội,real_estate_construction,2,0
vietnamworks:2050484,Nhân Viên Nghiệp Vụ Hệ Thống Phần Mềm,Công Ty TNHH MTV Logistics Viettel,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Junior,Hà Nội,logistics,1,0
vietnamworks:2055036,Chuyên Viên Cao Cấp Tối Ưu Vận Hành - Senior Business Analyst,GSM,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Senior,Hà Nội,unknown,5,0
vietnamworks:2055455,AI Solution Consultant – Drive Practical AI Transformation In Manufacturing,"Wanek Furniture CO., LTD.",BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Bình Dương,manufacturing,2,0
vietnamworks:2056052,ERP BUSINESS SYSTEM ANALYST D365 FnO,"LTP Vietnam., Co Ltd",BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hồ Chí Minh,unknown,1,0
vietnamworks:2056067,Senior Business Finance Analyst,"Piaggio Vietnam Co., Ltd (Pvn)",BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Senior,Vĩnh Phúc,manufacturing,2,0
vietnamworks:2056091,Senior IT Business Analyst cum Product Manager,Dai-Ichi Life Vietnam,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Manager,Hồ Chí Minh,bank_finance,1,0
vietnamworks:2056628,Business Analyst Lead,CÔNG TY CỔ PHẦN SYNODUS,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Lead,Hà Nội,unknown,1,0
vietnamworks:2056726,Chuyên Viên Phân Tích Nghiệp Vụ,Bệnh Viện Da Liễu Trung Ương,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Lead,Hà Nội,healthcare_pharma,1,0
vietnamworks:2057200,Senior IT Business Analyst / Senior IT Consultant,Bosch Global Software Technologies Company Limited,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Senior,Hồ Chí Minh,tech_software,3,0
vietnamworks:2057655,Chuyên Viên Phân Tích Nghiệp Vụ,Công ty Cổ phần Chứng khoán An Bình,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Junior,Hà Nội,bank_finance,1,0
vietnamworks:2057673,Senior Business Analyst,Công ty cổ phần Tư vấn Đầu tư và Xây dựng Giao thông Vận tải,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Senior,Hà Nội,consulting_audit,2,0
vietnamworks:2058479,Business Analyst Leader,CMC Cyber Security,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Manager,Hà Nội,tech_software,2,0
vietnamworks:2059003,Senior Business Analyst Manager,Avery Dennison Vietnam,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Manager,Hồ Chí Minh,manufacturing,3,0
vietnamworks:2059378,Business Analyst,Công Ty Cổ Phần Chứng Khoán KIS Việt Nam,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Junior,Hồ Chí Minh,bank_finance,1,0
vietnamworks:2059395,Chuyên Viên Phân Tích Nghiệp Vụ,Công Ty Cổ Phần Chứng Khoán SSI,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hà Nội,bank_finance,2,0
vietnamworks:2060209,Business Analyst,Tasco Joint Stock Company,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hà Nội,manufacturing,1,0
vietnamworks:2060695,Chuyên Viên Phân Tích và Thiết Kế Hệ Thống,Tổng Công Ty CP Bảo Hiểm Toàn Cầu (GIC),BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Senior,Hồ Chí Minh,bank_finance,5,0
vietnamworks:2061238,Integration Engineer,"Truecommerce Vietnam Company, Limited",BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Junior,Hồ Chí Minh,ecommerce,3,0
vietnamworks:2063360,Application Support Assistant Manager,Shinhan Vietnam Finance Company Limited,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Manager,Hồ Chí Minh,bank_finance,1,0
vietnamworks:2063449,Sales Analysis & Budget Control Assistant,Lotte Mall West Lake Hanoi,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hà Nội,retail_consumer,2,0
vietnamworks:2064257,"BA Lead , Lương 35–60M | Dự Án Lớn Tại Viettel",Tổng Công Ty Giải Pháp Doanh Nghiệp Viettel (VTS),BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Manager,Hà Nội,telecom,5,0
vietnamworks:2064835,Business Analyst,CÔNG TY TNHH EZ TECH VIỆT NAM,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hà Nội,tech_software,1,0
vietnamworks:2065112,Chuyên Viên Phân Tích Nghiệp Vụ - Mã Số: Qldv-01,Chi Nhánh Trung Tâm Công Nghệ Thông Tin Tập Đoàn Bảo Việt,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hà Nội,tech_software,4,0
vietnamworks:2065798,Senior Business Analyst,Công Ty TNHH Giải Pháp Công Nghệ Cộng,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Senior,Hà Nội,tech_software,3,0
vietnamworks:2066774,IT Business Analyst,Shinhan Vietnam Finance Company Limited,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hồ Chí Minh,bank_finance,2,0
vietnamworks:2066987,Senior Operations Analyst,ONPOINT COMPANY LIMITED,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Senior,Hồ Chí Minh,ecommerce,2,0
vietnamworks:2067784,Phó Trưởng Phòng Phân Tích Nghiệp Vụ,Công Ty Dịch Vụ Số Bưu Điện – Tổng Công Ty Bưu Điện Việt Nam,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Manager,Hà Nội,logistics,1,0
vietnamworks:2067971,Chuyên Gia/Chuyên Viên Business Analyst,Công Ty Cổ Phần Chứng Khoán Agribank,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Senior,Hà Nội,bank_finance,1,0
vietnamworks:2067984,Chuyên Viên Phân Tích Nghiệp Vụ Và Phát Triển Sản Phẩm thuộc Phòng Phân tích - Nghiên cứu,Công Ty Cổ Phần Chứng Khoán Agribank,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hà Nội,bank_finance,2,0
vietnamworks:2061537,Computer Vision Engineer,Vietnamworks' Client,CV_NLP,AI / Machine Learning,AI / GenAI Engineering,Junior,Hà Nội,recruitment_agency,1,0
topcv:2157606,Data Analyst,CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ & ĐỔI MỚI VIỆT,DATA_ANALYST,Analytics,Data Analysis & BI,Lead,Hà Nội,tech_software,5,0
vietnamworks:2059919,Chuyên Viên Phân Tích Dữ Liệu Kinh Doanh,Công Ty CP Dây Cáp Điện Việt Nam - Cadivi,DATA_ANALYST,Analytics,Data Analysis & BI,Mid,Hồ Chí Minh,manufacturing,4,0
vietnamworks:2060761,Senior Enterprise IT Architect,Công Ty Cổ Phần Tập Đoàn Masterise,DATA_ARCHITECT,Governance & Architecture,Governance & Architecture,Senior,Hà Nội,real_estate_construction,2,0
itviec:1f2aa5ff-7840-434d-84a3-d616fdceb11f,CV/CVCC Phát triển hệ thống Quản trị tài chính - K.CNTT,PVcomBank,DATA_ENGINEER,Data Engineering,Pipelines & Platform,Senior,Hà Nội,bank_finance,6,0
vietnamworks:2063171,Integration And Application Lead,Vietnam Australia International School (VAS),DATA_ENGINEER,Data Engineering,Pipelines & Platform,Lead,Hồ Chí Minh,education,1,0
topdev:2111357,Senior Data Product Owner,Techcombank,DATA_LEADERSHIP,Data Leadership,Leadership,Senior,Hồ Chí Minh,bank_finance,11,0
itviec:087ccb7e-3b61-4043-976e-0255b02e9f57,Product Owner,One Mount Group,PRODUCT_ANALYST,Analytics,Business / Domain Analysis,Mid,Hồ Chí Minh,tech_software,8,0
itviec:e551dcb0-3ca4-4b16-9217-845f2d196461,Product Analyst,GEEK UP,PRODUCT_ANALYST,Analytics,Business / Domain Analysis,Mid,Hồ Chí Minh,tech_software,1,0
vietnamworks:2062119,Trụ Sở Chính - Hà Nội - Tuyển Dụng Nhân Viên Phát Triển và Quản Lý Sản Phẩm,Công Ty Cổ Phần Chứng Khoán Agribank,PRODUCT_ANALYST,Analytics,Business / Domain Analysis,Mid,Hà Nội,bank_finance,1,0
vietnamworks:2065727,Product Analyst,GEEK Up,PRODUCT_ANALYST,Analytics,Business / Domain Analysis,Mid,Hà Nội,tech_software,2,0
vietnamworks:2061149,"Chuyên viên, Chuyên viên cao cấp mảng Chính sách rủi ro tín dụng - Credit Risk Policy Specialist, Senior Specialist - Khối Quản trị rủi ro",NGÂN HÀNG TMCP QUÂN ĐỘI – MBBANK,RISK_FRAUD_ANALYST,Analytics,Business / Domain Analysis,Senior,Hà Nội,bank_finance,1,0
vietnamworks:2067415,Sinh Viên Tài Năng Khối Quản Lý Rủi Ro,Ngân Hàng TMCP Ngoại Thương Việt Nam - Vietcombank,RISK_FRAUD_ANALYST,Analytics,Business / Domain Analysis,Intern,Hồ Chí Minh,bank_finance,1,0
vietnamworks:2066621,AI Evaluator | Remote,Ebit,AI_ENGINEER,AI / Machine Learning,AI / GenAI Engineering,Junior,Hồ Chí Minh,tech_software,1,1
vietnamworks:2060057,"Senior Business Intelligence Analyst, SPX Express",CÔNG TY TNHH SPX EXPRESS,BI,Analytics,Data Analysis & BI,Senior,Hồ Chí Minh,logistics,5,1
careerviet:35C770F5,Nhân viên phân tích tài chính biết tiếng Trung,CÔNG TY TNHH POLYTEX FAR EASTERN (VIỆT NAM),BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Junior,Hồ Chí Minh,manufacturing,2,1
careerviet:35C786FD,ESG Coordinator,VINFAST TRADING AND PRODUCTION JSC,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,,manufacturing,2,1
careerviet:35C796E3,Senior Business Analyst - Chuyên Viên Phân Tích Nghiệp Vụ,Công ty Cố phần giải pháp công nghệ ITE,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Senior,Hà Nội,tech_software,5,1
itviec:69aaf2d2-7974-42a7-8e1e-64bcef9de2ee,Data Business Analyst – ID6813,VPBank,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hà Nội,bank_finance,6,1
topdev:2107179,Chuyên viên Quản trị Hiệu quả & Danh mục SME - Khối Khách hàng vừa và nhỏ,MBBANK,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hà Nội,bank_finance,6,1
vietnamworks:2043139,Nhân Viên GSD,Công Ty TNHH Kanaan Central Việt Nam,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Junior,Hồ Chí Minh,unknown,1,1
vietnamworks:2043972,ERP Analyst,CÔNG TY TNHH THƯƠNG MẠI ĐIỆN TỬ 3T,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hồ Chí Minh,ecommerce,3,1
vietnamworks:2055992,Chuyên Viên Cao Cấp Phân Tích Doanh Nghiệp,Công Ty Cổ Phần Chứng Khoán KB Việt Nam,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Senior,Hà Nội,bank_finance,2,1
vietnamworks:2056077,Product Operation Specialist,Công Ty TNHH Công Nghệ Tài Chính New Asia,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hồ Chí Minh,bank_finance,2,1
vietnamworks:2056241,Sale Admin,Navigos Search's Client,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hà Nội,recruitment_agency,2,1
vietnamworks:2056333,Chuyên Viên Quản Lý Hiệu Suất,Tổng Công Ty CP Bưu Chính Viettel,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hà Nội,logistics,1,1
vietnamworks:2056495,Chuyên Viên Cao Cấp Quản Lý Năng Suất và Hiệu Quả Hoạt Động NHBL,Ngân Hàng TMCP Quốc Tế Việt Nam (VIB),BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Senior,Hà Nội,bank_finance,1,1
vietnamworks:2056738,Junior Finance Analyst,Bel,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Junior,Hồ Chí Minh,unknown,2,1
vietnamworks:2057464,Business Process Analyst,CÔNG TY TNHH VISY GLOBAL LOGISTICS (VIỆT NAM),BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hồ Chí Minh,logistics,2,1
vietnamworks:2060743,SAP Consultant,Công Ty TNHH Ajax Systems Việt Nam,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hưng Yên,tech_software,1,1
vietnamworks:2061807,NPI/ Foundry Operational Analyst,Intel Products Vietnam,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Junior,Hồ Chí Minh,manufacturing,3,1
vietnamworks:2063819,Chuyên Viên Phát Triển Tổ Chức & Quản Trị Hiệu Suất,Công Ty CP Tập Đoàn Everland,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Senior,Hà Nội,real_estate_construction,1,1
vietnamworks:2063837,Senior Portfolio Analytics And Reporting Executive,Công Ty Tài Chính TNHH Ngân Hàng TMCP Sài Gòn - Hà Nội (SHBFinance),BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Senior,Hồ Chí Minh,bank_finance,2,1
vietnamworks:2067499,Process Engineering Coordinator / Analyst Điều Phối Viên / Chuyên Viên Phân Tích Kỹ Thuật Quy Trình,Quickpack Vietnam Co.ltd,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,,manufacturing,1,1
vietnamworks:2067749,CVC Quản Lý Hiệu Suất Ngân Hàng Định Chế Tài Chính - QLTC - MSB - 3K050,Ngân Hàng Thương Mại Cổ Phần Hàng Hải Việt Nam (MSB),BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Senior,Hà Nội,bank_finance,2,1
glints:d6f22d0c-15ce-4a65-a77d-681b5705bf94,"Thực tập sinh, Tình nguyện viên Data Part-time",TAHK,DATA_ANALYST,Analytics,Data Analysis & BI,Intern,,unknown,3,1
glints:e4bcc95f-2297-48a2-bde4-90374d7cf878,Intern Automation & Data,Công ty Cổ Phần Chuỗi Bán Lẻ Mini Min,DATA_ANALYST,Analytics,Data Analysis & BI,Intern,,retail_consumer,3,1
topcv:2173063,Chuyên Viên Phân Tích Dữ Liệu - Có Xe Đưa Đón - Lương Upto 30tr/Tháng,Công Ty TNHH Điện Tử Việt Nhật,DATA_ANALYST,Analytics,Data Analysis & BI,Junior,Hưng Yên,manufacturing,2,1
vietnamworks:2055478,Data Analyst & Reporting Associate,Shinhan Vietnam Finance Company Limited,DATA_ANALYST,Analytics,Data Analysis & BI,Junior,Hồ Chí Minh,bank_finance,4,1
vietnamworks:2058175,Chuyên Viên Phân Tích Dữ Liệu,Công Ty TNHH Bán Lẻ Fujimart Việt Nam,DATA_ANALYST,Analytics,Data Analysis & BI,Senior,Hà Nội,retail_consumer,2,1
vietnamworks:2058921,Item Data Analyst,CÔNG TY TNHH ALLINGHAM HOME,DATA_ANALYST,Analytics,Data Analysis & BI,Junior,Hồ Chí Minh,retail_consumer,2,1
vietnamworks:2059497,Production Admin,Perfetti Van Melle (Viet Nam) Limited,DATA_ANALYST,Analytics,Data Analysis & BI,Junior,Bình Dương,manufacturing,2,1
vietnamworks:2059939,Senior HR Analyst,MiTek Việt Nam,DATA_ANALYST,Analytics,Data Analysis & BI,Senior,Hồ Chí Minh,tech_software,4,1
vietnamworks:2060296,Operations Data Development Supervisor,Công Ty TNHH Techtronic Industries Việt Nam Manufacturing,DATA_ANALYST,Analytics,Data Analysis & BI,Lead,Hồ Chí Minh,manufacturing,4,1
vietnamworks:2064429,Chuyên viên cao cấp - Phân Tích Dữ Liệu & Chính Sách Giá,Công Ty Cổ Phần Vàng Bạc Đá Quý Phú Nhuận (PNJ),DATA_ANALYST,Analytics,Data Analysis & BI,Senior,,retail_consumer,1,1
vietnamworks:2065095,Nhân Viên Theo Dõi & Phân Tích Dữ Liệu,Công Ty TNHH Tamada Việt Nam,DATA_ANALYST,Analytics,Data Analysis & BI,Junior,Hải Phòng,unknown,2,1
vietnamworks:2067352,Data Analysis Officer / Nhân Viên Phân Tích & Xử Lý Dữ Liệu,Vietnamworks' Client,DATA_ANALYST,Analytics,Data Analysis & BI,Mid,Hồ Chí Minh,recruitment_agency,5,1
vietnamworks:2068561,Nhân Viên Kế Hoạch và Dữ Liệu Sản Xuất,Công Ty TNHH VLXD Saint Gobain Bắc Việt Nam,DATA_ANALYST,Analytics,Data Analysis & BI,Mid,Hải Phòng,manufacturing,3,1
vietnamworks:2068691,Home Racer - Data Analyst,Home Credit Vietnam - Explore Your Dream Team,DATA_ANALYST,Analytics,Data Analysis & BI,Junior,Hồ Chí Minh,bank_finance,5,1
vietnamworks:2056478,Chuyên Gia Kiến Trúc và Giải Pháp Hạ Tầng - K.CNTT,Ngân Hàng TMCP Đại Chúng Việt Nam,DATA_ARCHITECT,Governance & Architecture,Governance & Architecture,Senior,Hà Nội,bank_finance,1,1
