job_id,title_clean,company,job_family,jf_domain,jf_subdomain,seniority,city,company_type,n_skills,text_len,dominant_topic,topic_weight,dominant_topic_share
careerviet:35C79DA1,Chuyên viên Phân tích dữ liệu,Tổng Công ty Cổ phần Công trình Viettel,DATA_ANALYST,Analytics,Data Analysis & BI,Mid,Hà Nội,real_estate_construction,8,2386,0,0.110986,0.4169
itviec:cd9d217b-3c91-4ffa-8fbe-783c4e2ada10,Trưởng Phòng CNTT & Chuyển Đổi Số,Công ty Cổ phần Tập đoàn Everland,DATA_LEADERSHIP,Data Leadership,Leadership,Manager,Hà Nội,real_estate_construction,7,2531,0,0.108389,0.4379
careerviet:35C6E40F,Senior Data Engineer,Nova Service Group - Công ty Cổ phần Tập đoàn Nova Services,DATA_ENGINEER,Data Engineering,Pipelines & Platform,Senior,Hồ Chí Minh,unknown,11,4106,0,0.108055,0.4092
topcv:2183517,Data Scientist,Fpt Telecom,DATA_SCIENTIST,AI / Machine Learning,Data / Decision Science,Lead,Hà Nội,telecom,11,1616,0,0.106355,0.4415
topcv:2157606,Data Analyst,CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ & ĐỔI MỚI VIỆT,DATA_ANALYST,Analytics,Data Analysis & BI,Lead,Hà Nội,tech_software,5,2153,0,0.1059,0.4221
careerviet:35C7A83A,Chuyên Viên Phân Tích Dữ Liệu,CÔNG TY CỔ PHẦN DƯỢC PHẨM FPT LONG CHÂU,DATA_ANALYST,Analytics,Data Analysis & BI,Mid,Hồ Chí Minh,retail_consumer,7,2303,0,0.104895,0.4884
careerviet:35C783C4,Senior Data Scientist,Ngân Hàng TMCP Phương Đông - OCB,DATA_SCIENTIST,AI / Machine Learning,Data / Decision Science,Senior,Hồ Chí Minh,bank_finance,14,3885,0,0.104398,0.3583
careerviet:35C77A2C,Giảng viên Phân tích Dữ liệu Cơ bản,Chương trình Học viện Công nghệ BKACAD,DATA_ANALYST,Analytics,Data Analysis & BI,Mid,Hà Nội,education,11,2988,0,0.104051,0.4083
vietnamworks:2065112,Chuyên Viên Phân Tích Nghiệp Vụ - Mã Số: Qldv-01,Chi Nhánh Trung Tâm Công Nghệ Thông Tin Tập Đoàn Bảo Việt,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hà Nội,tech_software,4,611,0,0.102701,0.5812
glints:e4bcc95f-2297-48a2-bde4-90374d7cf878,Intern Automation & Data,Công ty Cổ Phần Chuỗi Bán Lẻ Mini Min,DATA_ANALYST,Analytics,Data Analysis & BI,Intern,,retail_consumer,3,1221,0,0.09969,0.6997
glints:d00e9301-000b-4319-ab34-e4576cc2a82b,Management Information System Specialist,AKA Furniture,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,,manufacturing,7,2187,0,0.099501,0.4132
topcv:2153027,Lead Analytics Engineer,CÔNG TY TNHH LEVER SPHERE VIỆT NAM,ANALYTICS_ENGINEER,Data Engineering,Pipelines & Platform,Lead,Hà Nội,unknown,9,2499,0,0.098999,0.3647
careerviet:35C72B8C,"TT. Ngân hàng giao dịch, Hội sở - CV/CVC Triển khai tích hợp đối tác",Ngân Hàng TMCP Phương Đông - OCB,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Junior,Hồ Chí Minh,bank_finance,1,1618,0,0.098494,0.4954
itviec:247e8e0a-0e12-4e57-9d47-032c81513470,Trưởng Phòng Giải Pháp Công Nghệ,CÔNG TY CỔ PHẦN TẬP ĐOÀN VNGROUP,DATA_LEADERSHIP,Data Leadership,Leadership,Manager,Hà Nội,tech_software,3,2186,0,0.09837,0.3732
glints:dad65f5e-1454-486f-9566-f08dad89580f,AUDIT ADMIN - ADMIN CHUYÊN XỬ LÝ DỮ,"OUTSOURCE SOLUTIONS CO.,LTD",BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Junior,,tech_software,8,2856,0,0.094473,0.3863
itviec:17fe7aea-532d-4d06-aab5-774e147d1c58,Cộng tác viên Prompt Engineer – Khối CNTT,Ngân hàng TMCP Tiên Phong | TPBank,GENAI_LLM,AI / Machine Learning,AI / GenAI Engineering,Junior,Hà Nội,bank_finance,8,2355,0,0.092006,0.3959
vietnamworks:2059463,Nhân Viên Phát Triển Hệ Thống Kinh Doanh,Công Ty Cổ Phần ACECOOK Việt Nam,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hồ Chí Minh,manufacturing,3,600,0,0.08947,0.7375
vietnamworks:2067984,Chuyên Viên Phân Tích Nghiệp Vụ Và Phát Triển Sản Phẩm thuộc Phòng Phân tích - Nghiên cứu,Công Ty Cổ Phần Chứng Khoán Agribank,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hà Nội,bank_finance,2,647,0,0.088912,0.4359
vietnamworks:2056478,Chuyên Gia Kiến Trúc và Giải Pháp Hạ Tầng - K.CNTT,Ngân Hàng TMCP Đại Chúng Việt Nam,DATA_ARCHITECT,Governance & Architecture,Governance & Architecture,Senior,Hà Nội,bank_finance,1,604,0,0.088222,0.5876
glints:c05c72d6-9b9e-4542-b3ea-876f0fcdbe5e,Thực tập sinh Data annotation kiêm Tester,Công ty cổ phần NTL Việt Nam,DATA_SCIENTIST,AI / Machine Learning,Data / Decision Science,Intern,,unknown,4,781,0,0.087206,0.6404
topcv:2180185,Data Analyst,Unimob Studio,DATA_ANALYST,Analytics,Data Analysis & BI,Mid,Hà Nội,media_gaming,10,1650,0,0.086332,0.4213
glints:7a705fb1-88f6-4bf9-98ee-968bb1463313,Thực tập sinh Data Automation,Công ty Cổ Phần Chuỗi Bán Lẻ Mini Min,DATA_ENGINEER,Data Engineering,Pipelines & Platform,Intern,,retail_consumer,5,1250,0,0.084571,0.4536
vietnamworks:2064779,Kỹ Sư Trí Tuệ Nhân Tạo,Công Ty Cổ Phần Tập Đoàn Hoa Sen,AI_ENGINEER,AI / Machine Learning,AI / GenAI Engineering,Mid,Hồ Chí Minh,manufacturing,2,582,0,0.08377,0.4722
topcv:2184043,Lead Data Analyst,Công ty TNHH Dịch vụ công nghệ TP,DATA_ANALYST,Analytics,Data Analysis & BI,Lead,Hà Nội,tech_software,9,4153,0,0.082062,0.3348
vietnamworks:2043139,Nhân Viên GSD,Công Ty TNHH Kanaan Central Việt Nam,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Junior,Hồ Chí Minh,unknown,1,553,0,0.081318,0.5528
vietnamworks:2061107,Chuyên Viên Dữ Liệu,Công Ty Cổ Phần Thanh Toán Quốc Gia Việt Nam,DATA_ENGINEER,Data Engineering,Pipelines & Platform,Mid,Hà Nội,bank_finance,4,562,0,0.07961,0.4612
vietnamworks:2068561,Nhân Viên Kế Hoạch và Dữ Liệu Sản Xuất,Công Ty TNHH VLXD Saint Gobain Bắc Việt Nam,DATA_ANALYST,Analytics,Data Analysis & BI,Mid,Hải Phòng,manufacturing,3,582,0,0.07807,0.6167
vietnamworks:2057655,Chuyên Viên Phân Tích Nghiệp Vụ,Công ty Cổ phần Chứng khoán An Bình,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Junior,Hà Nội,bank_finance,1,593,0,0.077743,0.4773
glints:d6f22d0c-15ce-4a65-a77d-681b5705bf94,"Thực tập sinh, Tình nguyện viên Data Part-time",TAHK,DATA_ANALYST,Analytics,Data Analysis & BI,Intern,,unknown,3,1407,0,0.077189,0.5247
vietnamworks:2064257,"BA Lead , Lương 35–60M | Dự Án Lớn Tại Viettel",Tổng Công Ty Giải Pháp Doanh Nghiệp Viettel (VTS),BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Manager,Hà Nội,telecom,5,659,0,0.072694,0.3635
vietnamworks:2057597,Chuyên Viên Vận Hành Hệ Thống,Công Ty Cổ Phần Chứng Khoán KB Việt Nam,DATA_ENGINEER,Data Engineering,Pipelines & Platform,Junior,Hà Nội,bank_finance,3,581,0,0.072601,0.5616
topcv:2177903,Senior Data Analyst,CÔNG TY CỔ PHẦN SÀN GIAO DỊCH TÀI SẢN MÃ HÓA VIỆT NAM THỊNH VƯỢNG,DATA_ANALYST,Analytics,Data Analysis & BI,Senior,Hà Nội,bank_finance,8,1859,0,0.064561,0.2685
vietnamworks:2058175,Chuyên Viên Phân Tích Dữ Liệu,Công Ty TNHH Bán Lẻ Fujimart Việt Nam,DATA_ANALYST,Analytics,Data Analysis & BI,Senior,Hà Nội,retail_consumer,2,581,0,0.062959,0.4312
vietnamworks:2058687,Chuyên Viên Phân Tích Nghiệp Vụ,Tập Đoàn Bưu Chính Viễn Thông Việt Nam (VNPT),BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Junior,Hà Nội,telecom,0,519,0,0.062584,0.4516
vietnamworks:2059497,Production Admin,Perfetti Van Melle (Viet Nam) Limited,DATA_ANALYST,Analytics,Data Analysis & BI,Junior,Bình Dương,manufacturing,2,542,0,0.061576,0.4495
vietnamworks:2055502,Chuyên Viên Tích Hợp Nền Tảng Dữ Liệu,Ngân Hàng TMCP Ngoại Thương Việt Nam - Vietcombank,DATA_ENGINEER,Data Engineering,Pipelines & Platform,Junior,Hà Nội,bank_finance,3,638,0,0.058761,0.2904
vietnamworks:2056333,Chuyên Viên Quản Lý Hiệu Suất,Tổng Công Ty CP Bưu Chính Viettel,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hà Nội,logistics,1,551,0,0.051809,0.6051
vietnamworks:2056241,Sale Admin,Navigos Search's Client,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hà Nội,recruitment_agency,2,487,0,0.050187,0.4874
vietnamworks:2067843,Nhân Viên Data,Công Ty Cổ Phần Thực Phẩm Hữu Nghị,DATA_ANALYST,Analytics,Data Analysis & BI,Junior,Bắc Ninh,manufacturing,4,502,0,0.040536,0.2636
careerviet:35C7A039,Customer & Product Analytics Executive,CÔNG TY TÀI CHÍNH TNHH NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI (SHBFinance),DATA_ENGINEER,Data Engineering,Pipelines & Platform,Junior,Hồ Chí Minh,bank_finance,14,3778,1,0.272307,0.7622
careerviet:35C79D6C,Marketing Intelligence Manager,Công ty CP Giáo dục Quốc tế Việt Úc,BI,Analytics,Data Analysis & BI,Manager,Hồ Chí Minh,education,15,4247,1,0.222093,0.6969
itviec:0bf7659f-a23b-48a7-bb30-7ad247523e0b,Data Analyst and Process Improvement,DSV X Schenker,DATA_ANALYST,Analytics,Data Analysis & BI,Mid,Hồ Chí Minh,logistics,7,3748,1,0.211996,0.6574
careerviet:35C79C15,131268 - Financial Planning & Analysis Specialist - FMCG,"RGF HR Agent Vietnam Co., LTD",BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hồ Chí Minh,recruitment_agency,6,4560,1,0.21158,0.7796
careerviet:35C77E5F,Senior Business Intelligence Executive,Concung.com - Con Cung Joint Stock Company,BI,Analytics,Data Analysis & BI,Senior,Hồ Chí Minh,ecommerce,11,2593,1,0.210383,0.6473
careerviet:35C79F07,Data Manager,RED2 DIGITAL,DATA_LEADERSHIP,Data Leadership,Leadership,Manager,Hồ Chí Minh,tech_software,17,4098,1,0.206559,0.6768
topdev:2112037,Senior D&A Developer,HEINEKEN Vietnam,BI,Analytics,Data Analysis & BI,Senior,Hồ Chí Minh,retail_consumer,11,3525,1,0.20213,0.6887
itviec:536f98ec-02f8-4c3e-bc25-cebad05732c1,Remote - Data Operations Analyst,OrgScale Recruitment,DATAOPS,Data Engineering,Pipelines & Platform,Unknown,Hồ Chí Minh,recruitment_agency,14,3043,1,0.201596,0.6404
careerviet:35C78ECC,Power BI Analyst,Techtronic Industries Vietnam Manufacturing Company Limited,BI,Analytics,Data Analysis & BI,Junior,Hồ Chí Minh,manufacturing,12,4071,1,0.198912,0.5629
glints:ad6aa70b-0423-4348-b416-3b3a53abfa40,HR Analyst,MiTek Việt Nam,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Junior,,tech_software,9,2594,1,0.194382,0.6989
itviec:e551dcb0-3ca4-4b16-9217-845f2d196461,Product Analyst,GEEK UP,PRODUCT_ANALYST,Analytics,Business / Domain Analysis,Mid,Hồ Chí Minh,tech_software,1,4107,1,0.190477,0.6109
itviec:8dac9c5e-9389-4b55-9df4-46aacd018b79,Business Analyst,S3 Corporation (S3Corp.),BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hồ Chí Minh,tech_software,4,4118,1,0.188804,0.5553
topcv:2175620,Data Analyst Senior Officer,Ngân Hàng TNHH MTV Shinhan Việt Nam,DATA_ANALYST,Analytics,Data Analysis & BI,Senior,Hồ Chí Minh,bank_finance,4,1752,1,0.187679,0.6894
careerviet:35C77B26,Chuyên viên chính/Chuyên viên cao cấp Phân tích nghiệp vụ FM - TNTech - 4Z035,Tập đoàn ROX (ROX Group),BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Senior,Hà Nội,real_estate_construction,5,2467,1,0.187436,0.6675
glints:378ec53e-4cb8-41fd-9ac8-927992bb7372,Data Engineering,CÔNG TY CỔ PHẦN CÔNG NGHỆ UNITRUST VIỆT NAM,DATA_ENGINEER,Data Engineering,Pipelines & Platform,Mid,,tech_software,15,2338,1,0.187062,0.497
topcv:2174212,Data Analyst Ngân Hàng Shinhan,Ngân Hàng TNHH MTV Shinhan Việt Nam,DATA_ANALYST,Analytics,Data Analysis & BI,Junior,Hồ Chí Minh,bank_finance,4,1755,1,0.186676,0.6893
itviec:b52603d4-f0aa-4873-9012-a04b838e5507,Senior/Lead Business Analyst,NAB Innovation Centre Vietnam,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Lead,Hồ Chí Minh,tech_software,10,5143,1,0.18632,0.4944
careerviet:35C7A74C,HR Data Analyst cum Total Rewards Operational,Cổ Phần Kết Nối Nhân Tài - Talentnet Corporation,DATA_ANALYST,Analytics,Data Analysis & BI,Mid,Hồ Chí Minh,recruitment_agency,13,2801,1,0.185497,0.6958
itviec:b3ec48f4-2489-4009-b7b5-969b0d039f72,Industrial Data Systems Engineer,Công ty TNHH Peregrine Management Việt Nam,DATA_ENGINEER,Data Engineering,Pipelines & Platform,Senior,Hà Nội,tech_software,17,4967,1,0.183951,0.5219
itviec:a9e20032-f826-421d-ad09-e3c7ff6b11ad,Knowledge System Lead,LeapXpert,AI_ENGINEER,AI / Machine Learning,AI / GenAI Engineering,Lead,Hồ Chí Minh,tech_software,6,5066,1,0.183164,0.6732
careerviet:35C79F56,Data Engineer,Teamwork Vietnam Ltd,DATA_ENGINEER,Data Engineering,Pipelines & Platform,Unknown,Hồ Chí Minh,tech_software,21,3105,1,0.182857,0.4783
itviec:d108423e-e276-4925-96b9-6bac972a6b83,Senior Data Scientist,Spiraledge,DATA_SCIENTIST,AI / Machine Learning,Data / Decision Science,Senior,Hồ Chí Minh,unknown,30,5359,1,0.18111,0.5201
itviec:126cc3b2-7e5a-486f-853d-8ff033e0b54c,IT Business Analyst Presales,EMESOFT,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hồ Chí Minh,tech_software,5,4410,1,0.177032,0.5322
careerviet:35C7782C,Data Analyst,BETRIMEX - Công Ty Cổ Phần Xuất Nhập Khẩu Bến Tre,DATA_ANALYST,Analytics,Data Analysis & BI,Mid,Hồ Chí Minh,logistics,5,3835,1,0.174791,0.8461
itviec:6152f075-4d87-4536-98a1-1aafc71d82be,Senior / Lead Business Analyst,VIHAT Technology,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Lead,Hồ Chí Minh,tech_software,6,3005,1,0.174762,0.5034
itviec:fe87ce11-6196-4ad0-accb-7bc6dd3d295f,Senior IT Product Business Analyst,Bosch Global Software Technologies Company Limited,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Senior,Hồ Chí Minh,tech_software,6,4294,1,0.172799,0.4771
topcv:2201772,Business Intelligence Specialist - 3 Năm Kinh Nghiệm - Thu Nhập Hấp Dẫn - Tại Hà Nội,Công ty TNHH Esoft Vietnam,BI,Analytics,Data Analysis & BI,Mid,Hà Nội,tech_software,13,3191,1,0.17191,0.6078
itviec:ca1559bb-9c74-415c-87ef-626935408ef4,Data Engineer,GHN,DATA_ENGINEER,Data Engineering,Pipelines & Platform,Mid,Hồ Chí Minh,logistics,26,5073,1,0.169539,0.4886
careerviet:35C759D8,Data Engineering,Panasonic Electric Works Vietnam,DATA_ENGINEER,Data Engineering,Pipelines & Platform,Senior,Bình Dương,manufacturing,8,1729,1,0.169035,0.5551
careerviet:35C76A98,IT Business Analyst,Công Ty Tài Chính Mirae Asset (Việt Nam),BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hồ Chí Minh,bank_finance,6,3408,1,0.168766,0.5678
careerviet:35C74D30,RISK MODELING SUPPERVISOR,Công Ty Tài Chính Mirae Asset (Việt Nam),RISK_FRAUD_ANALYST,Analytics,Business / Domain Analysis,Mid,Hồ Chí Minh,bank_finance,11,3146,1,0.168745,0.4985
itviec:1d74085f-ea56-4a6d-bb9e-dd70e807774a,AI-Integrated Cad Automation Engineer,Công ty TNHH Peregrine Management Việt Nam,AI_ENGINEER,AI / Machine Learning,AI / GenAI Engineering,Mid,Hà Nội,tech_software,7,5132,1,0.167197,0.6093
itviec:bd5d1a16-2345-48ff-a062-0e2b1f521be9,Product Owner,Crossian,AI_ENGINEER,AI / Machine Learning,AI / GenAI Engineering,Senior,Hồ Chí Minh,unknown,2,2759,1,0.166714,0.6618
vietnamworks:2056753,AI & Analytics PMO,ONPOINT COMPANY LIMITED,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Mid,Hồ Chí Minh,ecommerce,1,943,1,0.166431,0.8071
itviec:087ccb7e-3b61-4043-976e-0255b02e9f57,Product Owner,One Mount Group,PRODUCT_ANALYST,Analytics,Business / Domain Analysis,Mid,Hồ Chí Minh,tech_software,8,3440,1,0.166289,0.4887
vietnamworks:2060296,Operations Data Development Supervisor,Công Ty TNHH Techtronic Industries Việt Nam Manufacturing,DATA_ANALYST,Analytics,Data Analysis & BI,Lead,Hồ Chí Minh,manufacturing,4,902,1,0.166038,0.8521
itviec:dc178b41-f868-4401-b4e6-2f00843f0c0f,Mid/Senior Microsoft AI / Power Platform Developer,SSTech,AI_ENGINEER,AI / Machine Learning,AI / GenAI Engineering,Senior,Hồ Chí Minh,tech_software,15,3597,1,0.163554,0.5318
itviec:f4b7a426-2141-4f52-9a60-071748725df6,Software Engineer for CAD/3D Data,ITviec Recruitment Consulting,ML_ENGINEER,AI / Machine Learning,ML Engineering,Senior,Hồ Chí Minh,recruitment_agency,13,4275,1,0.163423,0.51
glints:584b4cf5-006b-46ef-b7b5-9e873e59f8dd,Data analyst,Baller Headwear,DATA_ANALYST,Analytics,Data Analysis & BI,Junior,,retail_consumer,14,1934,1,0.162568,0.5631
itviec:6432754b-4dde-4c7d-a015-86bda2ccca40,Senior Data & Business Intelligence Professional,CÔNG TY CỔ PHẦN CHỨNG KHOÁN KAFI,BI,Analytics,Data Analysis & BI,Senior,Hồ Chí Minh,bank_finance,16,3031,1,0.161786,0.4682
careerviet:35C73082,Senior Data Analyst,"Rochdale Spears Co., Ltd.",DATA_ANALYST,Analytics,Data Analysis & BI,Senior,Bình Dương,unknown,6,2525,1,0.161275,0.6841
vietnamworks:2061807,NPI/ Foundry Operational Analyst,Intel Products Vietnam,BUSINESS_ANALYST,Analytics,Business / Domain Analysis,Junior,Hồ Chí Minh,manufacturing,3,983,1,0.159995,0.7882
careerviet:35C79FD1,Data Engineer,Viet Thai International,DATA_ENGINEER,Data Engineering,Pipelines & Platform,Mid,Hồ Chí Minh,unknown,16,2594,1,0.159854,0.482
glints:53836aa5-b450-44ef-8756-7faf370cb344,AI Engineer,Mileon,AI_ENGINEER,AI / Machine Learning,AI / GenAI Engineering,Junior,,unknown,6,5061,1,0.159439,0.6926
itviec:c62f75f0-8960-4d6d-baef-dd16afcc33e9,Data Tech Lead,Công ty TNHH Stravo Vietnam,DATA_ENGINEER,Data Engineering,Pipelines & Platform,Lead,Hồ Chí Minh,tech_software,14,4695,1,0.159262,0.5019
topdev:2112034,Data Architect Manager,HEINEKEN Vietnam,DATA_ARCHITECT,Governance & Architecture,Governance & Architecture,Manager,Hồ Chí Minh,retail_consumer,7,1562,1,0.159155,0.6174
vietnamworks:2038124,"Manager, Bancassurance Business Quality",FWD Vietnam Life Insurance Company Limited,RISK_FRAUD_ANALYST,Analytics,Business / Domain Analysis,Manager,Hồ Chí Minh,bank_finance,1,983,1,0.15784,0.7862
careerviet:35C6D767,Advisor for Tracking and Monitoring of the NDC,Văn phòng đại diện Tổ chức Hợp tác Quốc tế Đức GIZ tại Hà Nội,DATA_GOVERNANCE,Governance & Architecture,Governance & Architecture,Senior,Hà Nội,public_sector,5,3176,1,0.157729,0.877
itviec:cb4cadc4-a9ea-4e49-a265-68f6889097ed,"Senior Data Analyst, Ahamove",Ahamove,DATA_ANALYST,Analytics,Data Analysis & BI,Senior,Hồ Chí Minh,logistics,23,3308,1,0.157249,0.4357
vietnamworks:2064371,Business Intelligence Manager,Dezan Shira & Cộng Sự Việt Nam,BI,Analytics,Data Analysis & BI,Manager,Hồ Chí Minh,consulting_audit,1,954,1,0.156252,0.8457
topcv:1935054,Data Analyst,Công ty TNHH GEAR INC VN,DATA_ANALYST,Analytics,Data Analysis & BI,Junior,Hà Nội,manufacturing,5,2013,1,0.155645,0.8108
itviec:c03bb9ea-d9e5-4b3a-b17a-ca3c9b1ee07e,Microsoft 365 AI Solutions Architect,SGH Asia Ltd.,AI_ENGINEER,AI / Machine Learning,AI / GenAI Engineering,Unknown,Hồ Chí Minh,unknown,4,3778,1,0.154519,0.6728
careerviet:35C6E4EC,Head of Database Administration Section,Indovina Bank Ltd.,DBA_DATABASE,Data Engineering,Database / DBA,Manager,Hồ Chí Minh,bank_finance,7,2097,1,0.154062,0.5522
itviec:c7206199-9368-40ec-b148-611b50bd3c32,AI Native Platform Engineer,"MONEY FORWARD VIETNAM CO.,LTD",AI_ENGINEER,AI / Machine Learning,AI / GenAI Engineering,Senior,Hà Nội,bank_finance,12,5094,1,0.15281,0.4809
itviec:5288252b-63cd-447d-9ec1-d8c2648ed144,Senior Data Engineer - Financial Crime,GoTymeX,DATA_ENGINEER,Data Engineering,Pipelines & Platform,Senior,Hồ Chí Minh,bank_finance,20,3858,1,0.152569,0.4305
vietnamworks:2065310,Product Director,OrgScale Recruitment Sdn Bhd,DATA_LEADERSHIP,Data Leadership,Leadership,Manager,Hà Nội,recruitment_agency,0,821,1,0.15248,0.8773
careerviet:35C7316F,IT Senior Machine Learning Engineer,Dai-ichi Life Việt Nam,ML_ENGINEER,AI / Machine Learning,ML Engineering,Senior,Hồ Chí Minh,bank_finance,4,2607,1,0.152147,0.5392
